song_name,artist_name,album_name,release_date,song_id,danceability,energy,tempo,key
Love You For A Long Time,Maggie Rogers,Love You For A Long Time,2019-11-21,6QTPacyXkZWG9FMwq6L1hJ,0.707,0.67,112.993,
We Found Love,Rihanna,Talk That Talk,2011-11-18,6qn9YLKt13AGvpq9jfO8py,0.735,0.766,127.975,
Love Nor Money,D.O.D,Love Nor Money,2023-03-10,409lSJ3BoGROb8UqcoVPDC,0.697,0.921,126.986,
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",Kristen Bell,Frozen - Original Motion Picture Soundtrack,2013-01-01,6PlHaDiKonFXoKz1Lbdn53,0.737,0.636,100.033,
Love Drugs and Sex,A Boogie Wit da Hoodie,Hoodie SZN,2018-12-21,1Gno5IBUHh6vUKp4nxu2Yd,0.762,0.553,119.973,
Love My Way,The Psychedelic Furs,Forever Now,1982,4dk40nfaQav6b4ZsJ9OYUo,0.637,0.85,126.106,
Crazy In Love (feat. Jay-Z),Beyoncé,Dangerously In Love,2003-03-10,0TwBtDAWpkpM3srywFVOV5,0.664,0.759,99.252,
Love Is The Drug,Roxy Music,Siren,1975-10-01,3wtMkvedoWMQ3XTKv7tqcZ,0.839,0.755,124.65,
Love Is A Gamble (feat. Kida Kudz),Sneakbo,9 LIVES,2020-04-24,6CTrCqvZzjFj7PqEZM0Vjd,0.838,0.614,106.007,
The Man,Taylor Swift,Lover,2019-08-23,3RauEVgRgj1IuWdJ9fDs70,0.777,0.658,110.048,
Lovers And Friends,Lil Jon & The East Side Boyz,Crunk Juice,2004-11-16,41PWz0hAiU9FqsmjR9Wh62,0.675,0.501,139.861,
Love Game,Bread Beatz,Love Game,2023-10-06,4n81eNyWOkaxBIPrBQk0NJ,0.641,0.726,129.94,
LOVE AGAIN,The Kid LAROI,THE FIRST TIME,2023-11-10,5sZSiLaxwbQZsQSDzhwgo4,0.584,0.455,107.055,
My Love (feat. T.I.),Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,2006-09-13,4NeOWqHmlrGRuBvsLJC9rL,0.771,0.68,119.952,
Love Riddim,Rotimi,Walk With Me,2019-05-24,22uU5EVRx6rVpuUANTFEhn,0.781,0.633,107.074,
Romantic Lover,Eyedress,Let's Skip to the Wedding,2020-08-07,7s5VQqrjBtrBgZL4pEa46S,0.658,0.447,184.316,
Love & Reggae,Collie Buddz,Hybrid,2019-05-24,7nT9lGk3bf5rvnVbzPIE3N,0.743,0.576,77.958,
Love Me Back (Fayahh Beat),Trinidad Cardona,Love Me Back (Fayahh Beat),2022-04-04,5ZF6l3xKi3m6YK2dDXAsR5,0.602,0.612,95.161,
Love Lockdown,Kanye West,808s & Heartbreak,2008-11-24,05bIHrj5BTUoQxXZS6IH3M,0.76,0.524,119.603,
Love For You,LOVELI LORI,Love For You,2024-05-22,3SDJGyVK6sDBkwan0Sxj6R,0.721,0.647,109.254,
Loverboy,A-Wall,Helios,2019-08-04,0qXP5fMhxGzxALOkXYUxfP,0.604,0.466,120.045,
Love Don't Cost A Dime (Re-Up),Magixx,Love Don't Cost A Dime (Re-Up),2022-02-09,0hW02S9ACVYANz1ica10jH,0.703,0.571,100.21,
Burning Love,Elvis Presley,Elvis (Fool),1973-07-16,7zMUCLm1TN9o9JlLISztxO,0.66,0.748,143.549,
Love Ballad,Tove Lo,Queen Of The Clouds: X,2024-09-27,6FYzE7AiAqwbhui7qLQnZ7,0.695,0.879,111.984,
Love Foolosophy - Radio Edit,Jamiroquai,A Funk Odyssey,2001-08-29,0upgxxew2mVAEctrz08jnf,0.799,0.69,129.297,
Love Hurts (feat. Toosii),Lil Tjay,Destined 2 Win,2021-04-02,2ULQtFHTzUK0DqcqWUlXxw,0.712,0.404,139.991,
Love On,Selena Gomez,Love On,2024-02-22,2fB5YRuD88drKpCXQOAk03,0.751,0.519,116.023,
Ok Love You Bye,Olivia Dean,Ok Love You Bye,2019-11-22,66YywMJbAgzQrGkFKjnSsK,0.766,0.547,103.898,
Love Me,TeeDee,Love Me,2021-11-05,6t192M9A83w0sfFCCuW2ds,0.707,0.639,126.026,
Lovesick,Laufey,Bewitched,2023-09-08,39fD0qvjgk8RarJnoBiDTx,0.583,0.372,104.973,
Love Is Easy,McFly,Memory Lane (The Best Of McFly) [Deluxe Edition],2012-01-01,1SLWLZPU1gP4UbJ7RniOFq,0.68,0.666,151.995,
LOVE DIVE,IVE,LOVE DIVE,2022-04-05,0Q5VnK2DYzRyfqQRJuUtvi,0.703,0.709,117.941,
Lovefool,twocolors,Lovefool,2020-05-08,51Of5p3lKZeOg6itfs4og4,0.677,0.766,123.062,
Lovesick Girls,BLACKPINK,THE ALBUM,2020-10-02,4Ws314Ylb27BVsvlZOy30C,0.654,0.707,127.97,
I Love You,Fontaines D.C.,Skinty Fia,2022-04-22,4N8idxy0W2GDaEosAwPOMg,0.633,0.771,114.032,
Love Shy - Kristine Blond X James Hype,Kristine Blond,Love Shy (Kristine Blond X James Hype),2017-12-01,2eykBfpmgFbhsg5u5MLhhN,0.809,0.877,125.024,
Love Hurts (feat. Travis Scott),Playboi Carti,Die Lit,2018-05-11,3K6U7TamNyVSWcFH8pCQHX,0.724,0.45,140.978,
When Love Takes Over (feat. Kelly Rowland),David Guetta,One More Love,2010-11-22,1hRFVIy9As8OVRk8B7CrD5,0.675,0.862,129.967,
Love And Affection,Joan Armatrading,Joan Armatrading,1976-01-01,4I1w0J6NA3M25jFZ5dhp6y,0.634,0.31,93.47,
Love & Attention,SamRecks,Love & Attention,2022-05-08,1lhakluflmCQiaL4sjPMQA,0.745,0.546,145.99,
Love On My Mind (feat. Amanda Wilson),Freemasons,Unmixed,2007-10-29,0k44TEACp8VYXsXCy8VHk6,0.644,0.962,127.946,
Crazy What Love Can Do,David Guetta,Crazy What Love Can Do,2022-04-08,1WCEAGGRD066z2Q89ObXTq,0.601,0.713,122.872,
Skinny Love,Bon Iver,"For Emma, Forever Ago",2008-02-19,3B3eOgLJSqPEA0RfboIQVM,0.592,0.263,76.366,
Bleeding Love,Leona Lewis,Spirit,2007,6LtPIXlIzPOTF8vTecYjRe,0.635,0.647,104.058,
You Need To Calm Down,Taylor Swift,Lover,2019-08-23,6RRNNciQGZEXnqk8SQ9yv5,0.771,0.671,85.026,
Love of the Common People,Paul Young,From Time To Time - The Singles Collection,1991-09-07,6cARFkZxx2JR3JlvDzeLZc,0.744,0.609,90.723,
Love Man,Otis Redding,Love Man,1969,16dz1n3ctolQbuZPtvHVqH,0.588,0.611,149.141,
Love Me,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",2016-02-26,2HklyUw3TR56nVyVJAIhw5,0.631,0.8,97.02,
Love Tonight (Edit),Shouse,Love Tonight,2017-12-14,6OufwUcCqo81guU2jAlDVP,0.727,0.681,123.028,
"Love in This Club, Pt. II (feat. Beyoncé & Lil' Wayne)",USHER,Here I Stand,2008-05-27,2bppvcuQhuMcJZHtM9So7r,0.623,0.487,138.893,
All My Love,Noah Kahan,Stick Season,2022-10-14,7ByxizhA4GgEf7Sxomxhze,0.666,0.665,116.002,
Love Natural,Crystal Fighters,Cave Rave (Deluxe Edition),2013-12-08,5uyEmyaEogSBMJPas5qF9U,0.656,0.767,133.029,
Love Scars,Trippie Redd,A Love Letter To You,2017-05-14,4w552MI4k7dwPHLjI8YOBy,0.654,0.612,119.218,
Your Love (9PM),ATB,Your Love (9PM),2021-01-15,5YaskwnGDZFDRipaqzbwQx,0.669,0.784,125.993,
Lovesong,Adele,21,2011-01-24,2PPN1HFpVotjq7oJIqQbnx,0.689,0.369,116.885,
Love Action (I Believe In Love),The Human League,Dare!,1981,5RBPXlIiZVrr8hab7LpRJB,0.702,0.588,121.738,
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",Kristen Bell,Disney Summer Songs,2021-05-28,5ufE60D3rxtqP7xLrL4AEL,0.737,0.636,100.033,
Let Me Love You,Mario,Turning Point,2004-03-15,7GaFYUqP2WdR4KTPk7cXoP,0.686,0.588,94.519,
Love Again,Alex Isley,Marigold,2022-03-30,6ZwNOYjJ06J77YF1ggXtaT,0.596,0.458,99.381,
Electric Love,BØRNS,Dopamine,2015-10-16,2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,120.041,
International Love (feat. Chris Brown),Pitbull,Planet Pit (Deluxe Version),2011-06-17,62zFEHfAYl5kdHYOivj4BC,0.67,0.855,120.05,
Love Vibration,ESSEL,Love Vibration,2021-10-08,5B2Fil0dJNfob1W8gpL5E4,0.773,0.903,123.926,
Love Island Freestyle,Niko B,Love Island Freestyle,2022-07-28,1rlVac9TRr4f3b7GKHdhRh,0.886,0.628,139.989,
Stubborn Love,The Lumineers,The Lumineers,2012-04-03,4wG82w1L31yQhgGiWt6gIb,0.598,0.561,115.011,
Love Again,Dua Lipa,Future Nostalgia (The Moonlight Edition),2021-02-11,5CSKbHjpqborGnlzagyaDo,0.659,0.667,115.982,
Lady Love,Oden & Fatzo,Lady Love,2023-08-04,3ACTBfO2gL0RY2a3Eb5kY5,0.791,0.734,125.966,
Love Sex Magic (feat. Justin Timberlake),Ciara,Fantasy Ride,2009-05-01,1BIENruTnjKdB7HD2YIlRr,0.893,0.666,107.011,
Lover,Diljit Dosanjh,MoonChild Era,2021-08-22,0XwRlvv3KlOu4HWlOH34XG,0.827,0.587,119.936,
Love in the First Degree,Bananarama,Wow ! (Collector's Edition),1987-01-01,2qjWA8QruRCkoFZUQJR4SQ,0.787,0.92,117.565,
Higher Love,Kygo,Golden Hour,2020-05-29,1kKYjjfNYxE0YYgLa7vgVY,0.693,0.678,103.952,
Love Song (feat. Glasses),Kazy Lambist,33 000 FT.,2018-06-08,0fD6vPYWty2Jy4VVozWzfp,0.761,0.436,114.01,
Mr. Loverman,Ricky Montgomery,Montgomery Ricky,2016-04-08,2IVsRhKrx8hlQBOWy4qebo,0.639,0.526,130.033,
Miss Americana & The Heartbreak Prince,Taylor Swift,Lover,2019-08-23,214nt20w5wOxJnY462klLw,0.662,0.747,150.088,
Love Like This,ZAYN,Love Like This,2023-07-21,3P9pRL7V9yM9DhY6NGZjzA,0.71,0.631,129.991,
Love Will Keep Us Together,Captain & Tennille,Scrapbook,1999-01-01,10pcZvQ4QTKeHRvTUAeHVD,0.681,0.554,129.587,
Lovely Day,Bill Withers,Lean on Me: The Best of Bill Withers,1994-08-09,0ACACkoHUwgfgY5CxVIL4N,0.694,0.565,97.938,
Loved By You (feat. Burna Boy),Justin Bieber,Justice,2021-03-19,2tB9OFgAHjAds3cqquLlvp,0.79,0.724,101.04,
Love of My Life (feat. Not3s & Young Adz),Remedee,Love of My Life (feat. Not3s & Young Adz),2019-07-11,3wPTI3G39TG3kxR5ybhrzK,0.883,0.558,113.368,
Love Myself,Cameron Whitcomb,Love Myself,2024-09-06,0A5smlSd60fsk4CDCxICd4,0.628,0.79,110.993,
I Loved You (feat. Melissa Steel),Blonde,I Loved You (feat. Melissa Steel),2014-10-31,3yh9WHZs15IKNBXYaFAZH5,0.647,0.792,122.432,
Love and Happiness,Al Green,I'm Still in Love with You,1972-10-23,6SMHgPgNkhe9lneNTbgtel,0.823,0.457,99.163,
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,Higher And Higher,1967,5qyq1H5OPMlfuvZQ1wQNo7,0.634,0.677,95.792,
love riddim,oakland,love riddims,2024-04-12,4UUovgRFny3SlsfEW8j21F,0.613,0.719,140.157,
LoveSick,BoyWithUke,Faded,2021-09-10,1zS5TccQwMDp5ZsEnt4FAh,0.864,0.535,112.491,
Where's My Love,SYML,SYML,2019-05-03,1B62o4CbdL9ckGvwsz2cgn,0.604,0.36,103.985,
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,51ZQ1vr10ffzbwIjDCwqm4,0.645,0.646,115.842,
Love Don't Let Me Go,David Guetta,Just a Little More Love,2002-05-20,0mIAWTIXUP9Os5RBXKclO6,0.593,0.836,127.087,
Love's Train,Bruno Mars,An Evening With Silk Sonic,2021-11-11,2JUQ7mV1AHk2owXLydmN4Z,0.711,0.605,140.981,
Love Ya,Diljit Dosanjh,Love Ya,2024-01-06,4Vaa9Mq34xA9cSX8B7PtCN,0.715,0.505,133.861,
Love Me,Justin Bieber,My World,2009-01-01,0yIywEquxORnu1dR0WYsdN,0.712,0.868,125.028,
Love Me Like (feat. DUCKWRTH),Rayana Jay,Love Me Like,2019-03-22,5FFUDCkMjxuK6XQZNumN55,0.874,0.558,118.021,
Love Is Gone - Fred Riester & Joachim Garraud Radio Edit Remix,David Guetta,Pop Life (Bonus Track),2007-06-01,692a9IHmdxgnQPRRFPUE6E,0.773,0.813,127.93,
Love Town,Booker Newberry III,Love Town,1983-01-01,5bt0oGjC8IgCYN69QHhSVQ,0.668,0.541,114.832,
Love The Way You Lie,Eminem,Recovery,2010-06-18,15JINEqzVMv3SvJTAXAKED,0.749,0.925,86.989,10.0
Lovely Day,Bill Withers,Menagerie,1977-10-29,0bRXwKfigvpKZUurwqAlEh,0.692,0.651,97.923,9.0
Love In The Dark,Adele,25,2015-11-20,0DuWDLjriRPjDRoPgaCslY,0.331,0.341,109.821,9.0
Love Potions,BJ Lips,Cum n Cocaine,2021-08-02,6ZK4VMxfEYLPqpSvX2l4iY,0.66,0.833,121.982,11.0
Love Me,Lil Wayne,I Am Not A Human Being II (Deluxe),2013-01-01,2XHzzp1j4IfTNp1FTn7YFg,0.67,0.634,124.926,11.0
Lovefool,The Cardigans,First Band On The Moon (Remastered),1996-01-01,7aQjPecQdIuNd1sz3KCDhD,0.704,0.636,111.845,9.0
Love Me JeJe,Tems,Love Me JeJe,2024-04-25,47hsUYxvbTlBAN3sP9dEOd,0.838,0.537,103.95,11.0
LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,2017-04-14,6PGoSes0D9eUDeeAafB2As,0.8,0.585,126.058,10.0
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,2024-06-21,51rfRCiUSvxXlCSCfIztBy,0.53,0.406,115.94,10.0
Love Me,Lil Tecca,We Love You Tecca,2019-08-30,4e0FYxSROat25pH16zMTZI,0.719,0.538,204.132,11.0
love is embarrassing,Olivia Rodrigo,GUTS,2023-09-08,26QLJMK8G0M06sk7h7Fkse,0.517,0.821,160.052,9.0
Love Story,Indila,Mini World,2014-01-01,6nGeLlakfzlBcFdZXteDq7,0.375,0.255,95.978,10.0
Love The Way You Lie (Part II) - Pt. 2,Rihanna,Loud,2010-11-16,6M6lsQB4OhqL41eld29PeC,0.469,0.833,166.526,10.0
Love Tonight (David Guetta Remix Edit),Shouse,Love Tonight (David Guetta Remix),2021-06-11,2prnn41CblB8B4yWACDljP,0.621,0.989,126.002,10.0
Love Grows (Where My Rosemary Goes),Edison Lighthouse,Love Grows (Where My Rosemary Goes) & Other Gems,1970-01-01,5Ts1DYOuouQLgzTaisxWYh,0.568,0.824,108.625,9.0
Lovers In A Past Life (with Rag'n'Bone Man),Calvin Harris,Lovers In A Past Life (with Rag'n'Bone Man),2024-02-16,6v4ABPB255HDSWyIj3S9Wn,0.752,0.793,129.992,9.0
Love,Lana Del Rey,Lust For Life,2017-07-21,2Kerz9H9IejzeIpjhDJoYG,0.527,0.366,98.994,10.0
Love,Kouz1,AFROBOY,2023-01-13,0H0KoHgEWXn2n6BFWSozzS,0.709,0.689,100.97,11.0
Cruel Summer,Taylor Swift,Lover,2019-08-23,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,169.994,9.0
Lovesong - Remastered,The Cure,Disintegration (Deluxe Edition),1989-05-02,2mIrfke7vosXAEWfz6ucyo,0.611,0.791,140.12,9.0
Love,Disney Peaceful Guitar,Disney Guitar: Break Time,2021-09-17,1YTirJpIZARdMpMYspPo0Y,0.503,0.126,83.557,9.0
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2023-09-15,3vkCueOmm7xQDoJ17W1Pm3,0.504,0.308,113.95,9.0
Love Again,Dua Lipa,Future Nostalgia,2020-03-27,4rPkN1FMzQyFNP9cLUGIIB,0.659,0.667,115.982,11.0
love,DEAN,love,2017-05-19,6wcRv0UBvEH9NCIA3IVyQs,0.582,0.67,109.993,11.0
"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet,Picture This (20th Anniversary Edition),1995-04-10,0PCGfA36HrVPmsBZJ57zOU,0.523,0.689,84.09,10.0
Love Shy (Mix Cut),Kristine Blond,We Love House (Mini Mix 001) - Armada Music,2017-11-17,5fw2fT70XHmuzrLSKGTwnK,0.802,0.822,125.068,9.0
Love,Greyboy,15 Years of West Coast Cool,2008-11-04,0iHvpSHYsp4tSrYlvgEh7l,0.851,0.414,102.807,11.0
Love,Nix Northwest,"Life's a Bitch, I Just Need an Early Night",2019-10-18,6A4PeOJqTeI1dsP1r3aZf1,0.787,0.481,82.992,9.0
I Love You So,The Walters,I Love You So,2014-11-28,4SqWKzw0CbA05TGszDgMlc,0.575,0.648,75.977,10.0
Love Language,SZA,SOS,2022-12-09,1eIXYZWEfJO3Na2LCCnIJE,0.707,0.261,65.038,9.0
Love,Doktor,Love,2023-05-12,0w9zOHQ2Y3hrmL1YT9yuCD,0.484,0.946,114.058,10.0
The Lovecats,The Cure,Japanese Whispers,1983-01-01,6q2T5xXao6mTS6LLE88L84,0.747,0.571,91.838,9.0
Love,The Art Of Noise,Daft,1986-12-15,1kSORioLYEnTW7VEuBAoFG,0.733,0.374,136.498,9.0
Love,Daboycharge,Paving Ways,2023-09-13,5eluZaO49Nwwh081a3xmVQ,0.462,0.316,149.793,11.0
Love Someone,Lukas Graham,3 (The Purple Album),2018-10-26,0OCRwXbQRdOZ1OtB4Imsp1,0.538,0.409,171.838,9.0
Love,Yosuf,Love,2023-01-09,1wnugFeFGJ7VP45WcARGlD,0.446,0.945,100.056,11.0
LOVE IN THE AIR,FILM EMPIRE INT'L,STAY WITH ME,2024-09-24,7mUYZMNb2kkgBKk1NxZHfD,0.552,0.457,160.103,11.0
Love & War,Kodak Black,Back For Everything,2022-02-25,293mQGfVwgXIOdA1GpiwAt,0.762,0.649,145.09,11.0
Love Come Down - Single Version,"Evelyn ""Champagne"" King","The Best Of Evelyn ""Champagne"" King",1990-04-09,2RCOWNCxDIphjhqTtkwtwR,0.88,0.395,117.16,11.0
Love Is a Bitch,Two Feet,Love Is a Bitch,2017-05-19,6MiVIH3fQlmz44jGx2DXn4,0.532,0.178,149.879,9.0
Lovers In A Past Life (with Rag'n'Bone Man),Calvin Harris,96 Months,2024-08-08,2QMnxA6R1PD0dYyUi5AxZZ,0.752,0.793,129.992,9.0
LOVE AGAIN,The Kid LAROI,LOVE AGAIN,2023-01-27,4sx6NRwL6Ol3V6m9exwGlQ,0.584,0.455,107.055,11.0
Love Is A Game,Adele,30,2021-11-19,2j3GxEsbNYNeEzz86wDY4J,0.269,0.591,183.793,10.0
Love You For A Long Time,Maggie Rogers,Love You For A Long Time,2019-11-21,6QTPacyXkZWG9FMwq6L1hJ,0.707,0.67,112.993,9.0
Love song,Lana Del Rey,Norman Fucking Rockwell!,2019-08-30,5tyMJlMqaggzvuX7TtlrTe,0.384,0.0701,63.425,9.0
Love You Again,Chase Matthew,Come Get Your Memory,2023-06-09,7pvy3nhtBIQUakHS4OjFqB,0.564,0.823,132.113,10.0
ALL MY LOVE,Coldplay,Moon Music,2024-10-04,6iYxkBHyMpsgVxUgfy5fSx,0.521,0.279,137.848,9.0
Lovers And Friends,Lil Jon & The East Side Boyz,Crunk Juice,2004-11-16,41PWz0hAiU9FqsmjR9Wh62,0.675,0.501,139.861,10.0
Love Game,Bread Beatz,Love Game,2023-10-06,4n81eNyWOkaxBIPrBQk0NJ,0.641,0.726,129.94,9.0
LOVE AGAIN,The Kid LAROI,THE FIRST TIME,2023-11-10,5sZSiLaxwbQZsQSDzhwgo4,0.584,0.455,107.055,11.0
My Love (feat. T.I.),Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,2006-09-13,4NeOWqHmlrGRuBvsLJC9rL,0.771,0.68,119.952,11.0
Romantic Lover,Eyedress,Let's Skip to the Wedding,2020-08-07,7s5VQqrjBtrBgZL4pEa46S,0.658,0.447,184.316,9.0
Love & Reggae,Collie Buddz,Hybrid,2019-05-24,7nT9lGk3bf5rvnVbzPIE3N,0.743,0.576,77.958,9.0
Love Foolosophy - Radio Edit,Jamiroquai,A Funk Odyssey,2001-08-29,0upgxxew2mVAEctrz08jnf,0.799,0.69,129.297,11.0
All My Love - Live in Dublin,Coldplay,Moon Music (Full Moon Edition),2024-10-06,3aaXb0yHa5voqqAXALjUJm,0.514,0.323,137.814,9.0
ALL MY LOVE,Coldplay,Moon Music (Full Moon Edition),2024-10-06,1mAMlMxsUBQ4qqQ8FVdjt8,0.531,0.282,137.843,9.0
love is embarrassing,Olivia Rodrigo,GUTS (spilled),2024-03-22,3jhlwdu8nU7hFTEGHUomN3,0.517,0.821,160.052,9.0
Love Me,TeeDee,Love Me,2021-11-05,6t192M9A83w0sfFCCuW2ds,0.707,0.639,126.026,9.0
Love Is Easy,McFly,Memory Lane (The Best Of McFly) [Deluxe Edition],2012-01-01,1SLWLZPU1gP4UbJ7RniOFq,0.68,0.666,151.995,9.0
"Love You, Miss You, Mean It",Luke Bryan,Mind Of A Country Boy,2024-09-27,12boJKLZwB3LkU7lhfo9R9,0.45,0.812,151.872,10.0
Love is a Laserquest,Arctic Monkeys,Suck It and See,2011-06-06,0S6CXA5LpRDX6b4akgrOot,0.349,0.662,169.926,11.0
When Love Takes Over (feat. Kelly Rowland),David Guetta,One More Love,2010-11-22,1hRFVIy9As8OVRk8B7CrD5,0.675,0.862,129.967,11.0
Love & Attention,SamRecks,Love & Attention,2022-05-08,1lhakluflmCQiaL4sjPMQA,0.745,0.546,145.99,11.0
Love On My Mind (feat. Amanda Wilson),Freemasons,Unmixed,2007-10-29,0k44TEACp8VYXsXCy8VHk6,0.644,0.962,127.946,10.0
Love of the Common People,Paul Young,From Time To Time - The Singles Collection,1991-09-07,6cARFkZxx2JR3JlvDzeLZc,0.744,0.609,90.723,9.0
Love Man,Otis Redding,Love Man,1969,16dz1n3ctolQbuZPtvHVqH,0.588,0.611,149.141,11.0
Love Scars,Trippie Redd,A Love Letter To You,2017-05-14,4w552MI4k7dwPHLjI8YOBy,0.654,0.612,119.218,9.0
Love Drought,Beyoncé,Lemonade,2016-04-23,2RQAG0wQt35UzAPEyVJFWN,0.455,0.535,157.01,9.0
Love Again,Alex Isley,Marigold,2022-03-30,6ZwNOYjJ06J77YF1ggXtaT,0.596,0.458,99.381,9.0
Love Vibration,ESSEL,Love Vibration,2021-10-08,5B2Fil0dJNfob1W8gpL5E4,0.773,0.903,123.926,11.0
Love Island Freestyle,Niko B,Love Island Freestyle,2022-07-28,1rlVac9TRr4f3b7GKHdhRh,0.886,0.628,139.989,9.0
Love Again,Dua Lipa,Future Nostalgia (The Moonlight Edition),2021-02-11,5CSKbHjpqborGnlzagyaDo,0.659,0.667,115.982,11.0
"Love You, Miss You, Mean It",Luke Bryan,"Love You, Miss You, Mean It",2024-04-05,2b98AhAxuK5i4YUHaQ7eQR,0.45,0.812,151.872,10.0
Love Sex Magic (feat. Justin Timberlake),Ciara,Fantasy Ride,2009-05-01,1BIENruTnjKdB7HD2YIlRr,0.893,0.666,107.011,10.0
Love Drunk,BOYS LIKE GIRLS,Love Drunk,2009-09-07,20X9OeC606XNwEtDBOym5u,0.44,0.976,150.005,10.0
Lover,Diljit Dosanjh,MoonChild Era,2021-08-22,0XwRlvv3KlOu4HWlOH34XG,0.827,0.587,119.936,9.0
Love Me For A Reason,Boyzone,Said And Done,1995-08-21,2GBoo6ufWtMy1s6lqgbjJ8,0.431,0.721,156.12,9.0
Love Don't Change,Jeremih,All About You,2010-01-01,6PmjWl0phNxc0R5OwkDdiZ,0.539,0.424,118.071,11.0
Love Song (feat. Glasses),Kazy Lambist,33 000 FT.,2018-06-08,0fD6vPYWty2Jy4VVozWzfp,0.761,0.436,114.01,9.0
Miss Americana & The Heartbreak Prince,Taylor Swift,Lover,2019-08-23,214nt20w5wOxJnY462klLw,0.662,0.747,150.088,11.0
Lovely Day,Bill Withers,Lean on Me: The Best of Bill Withers,1994-08-09,0ACACkoHUwgfgY5CxVIL4N,0.694,0.565,97.938,9.0
Love of My Life (feat. Not3s & Young Adz),Remedee,Love of My Life (feat. Not3s & Young Adz),2019-07-11,3wPTI3G39TG3kxR5ybhrzK,0.883,0.558,113.368,9.0
I Loved You (feat. Melissa Steel),Blonde,I Loved You (feat. Melissa Steel),2014-10-31,3yh9WHZs15IKNBXYaFAZH5,0.647,0.792,122.432,10.0
LoveSick,BoyWithUke,Faded,2021-09-10,1zS5TccQwMDp5ZsEnt4FAh,0.864,0.535,112.491,9.0
Love Like Ghosts,Lord Huron,Strange Trails,2015-04-06,1Xca9HfuG65IL3ogdnNfTv,0.478,0.549,137.065,9.0
Secret Love Song (feat. Jason Derulo),Little Mix,Get Weird (Expanded Edition),2015-11-06,6KHL1En9v6iNWjcs44mcmU,0.529,0.614,92.972,9.0
Love Don't Let Me Go,David Guetta,Just a Little More Love,2002-05-20,0mIAWTIXUP9Os5RBXKclO6,0.593,0.836,127.087,10.0
Love Town,Booker Newberry III,Love Town,1983-01-01,5bt0oGjC8IgCYN69QHhSVQ,0.668,0.541,114.832,11.0
Love Is Stronger Than Pride,Victoria Monét,JAGUAR II : Deluxe,2024-10-04,1upAmogfao9L253WeV9Jk5,0.73,0.655,110.012,9.0
Love Street,The Doors,Waiting for the Sun,1968-07-03,5Q2Im8o4RthlAMkvUMYwGj,0.709,0.305,118.821,9.0
Love Of Your Life,RAYE,Love Of Your Life,2020-11-06,5iqfKcEGKhoeWTNqmZPiu3,0.632,0.826,111.886,10.0
Love To Walk Away,The Vaccines,Pick-Up Full Of Pink Carnations,2024-01-12,1GKsOmCVxqmNavF3nAIrwE,0.402,0.859,79.944,9.0
Love Me Two Times,The Doors,Strange Days,1967-09-25,67HxeUADW4H3ERfaPW59ma,0.684,0.698,132.846,9.0
Love U Like That,Lauv,Love U Like That,2023-08-04,3rmqiQbzPDx7A8p88IRFKg,0.714,0.671,95.005,10.0
Love Today,MIKA,Life In Cartoon Motion,2006-01-01,2IxoxL1FHw0RxN5r6y5mjF,0.678,0.914,124.446,11.0
Love Is The Law,The Seahorses,Do It Yourself,1997-01-01,5hxttI33fq6Pj5jWabbEOz,0.278,0.817,90.309,11.0
Love My Life,Robbie Williams,The Heavy Entertainment Show (Deluxe),2016-11-04,1YW369EbVyjpeLE3YbsjKQ,0.543,0.686,95.995,10.0
Love Like Mine,Stela Cole,Woman of the Hour,2020-11-20,5Ds1FRxEq20yhhtVY3JukM,0.716,0.705,89.011,9.0
Lovely Darling,Benson Boone,PULSE,2023-05-05,7JQfzB0Idz7zXvTRnvqggu,0.68,0.753,141.007,11.0
Love Somebody,Rotimi,All or Nothing (Deluxe),2021-10-15,2VR1nIY2M4W2AfNOg4uFR7,0.8,0.62,104.885,9.0
Love or Hate - Sainte Vie Remix,Vintage Culture,Promised Land (Remixes),2024-10-02,2bZqIY3BZ4OGjVUcjqljZi,0.589,0.837,122.012,11.0
Love Shy (Thinking About You) - Virgo vs. Agent X Edit,Platnum,Love Shy (Thinking About You) [Virgo vs. Agent X Edit],2008-09-26,1d0i1q08HrOTP0jeYVFPOH,0.679,0.823,140.34,11.0
love race (feat. Kellin Quinn),mgk,love race (feat. Kellin Quinn),2021-04-29,1F9kEuwT29fgqlovIclu81,0.517,0.848,95.906,10.0
Love Will Tear Us Apart - Tensnake Remix,R Plus,Love Will Tear Us Apart - Tensnake Remix,2021-06-04,51NcW3cfbdI0FLsD8dgXAq,0.717,0.835,122.988,11.0
